Method,Path
POST,/api/retirement/annuity/info
POST,/api/retirement/drawdown/context
POST,/api/retirement/drawdown
POST,/api/retirement/drawdown/document
GET,/api/retirement/drawdown/form
GET,/api/retirement/annuity/occupations
GET,/api/retirement/annuity/otherconditions
GET,/api/retirement/annuity/medications
GET,/api/retirement/annuity/cancers
GET,/api/retirement/annuity/cancersurgeries
GET,/api/retirement/annuity/heartotherdiagnoses
GET,/api/retirement/annuity/neurologicalotherdiagnoses
GET,/api/retirement/annuity
POST,/api/retirement/annuity
GET,/api/retirement/annuity/block/{annuityCaseId}
POST,/api/retirement/annuity/block/{annuityCaseId}
GET,/api/retirement/annuity/{annuityCaseId}
PUT,/api/retirement/annuity/{annuityCaseId}
GET,/api/retirement/annuity/document
GET,/api/retirement/annuity/{annuityCaseId}/detail
PUT,/api/retirement/annuity/signature
POST,/api/retirement/keepinvestment/info
POST,/api/retirement/keepinvestment
POST,/api/retirement/withdraw/valid
POST,/api/retirement/withdraw/info
POST,/api/retirement/withdraw
POST,/api/transaction/all
GET,/api/transaction
PUT,/api/transaction
POST,/api/transaction
DELETE,/api/transaction
POST,/api/transaction/email
POST,/api/transaction/pension/increasecontribution
POST,/api/transaction/pension/switchfunds
POST,/api/transaction/savings/monthly
POST,/api/transaction/savings/single
POST,/api/transaction/callback
GET,/api/transfer/investment
POST,/api/transfer
GET,/api/transfer/providers
POST,/api/transfer/sign
GET,/api/transfer/info
GET,/api/user/lifeexpectancy
GET,/api/user
GET,/api/user/login
GET,/api/user/info
PUT,/api/user/info
GET,/api/user/sensitive
POST,/api/device
DELETE,/api/device
PATCH,/api/user/details
GET,/api/user/tax
GET,/api/support/comments
GET,/api/support
POST,/api/support
DELETE,/api/support
GET,/api/support/options
GET,/api/user/maritalstatuses
POST,/api/user/import/exist
POST,/api/user/import/confirm
POST,/api/user/import/update
GET,/api/preference
POST,/api/preference
